Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
hasConsistencyCheck,Object Property,,,QualityControl,ConsistencyCheck,,A relation between a dataset and its consistency checking processes used to maintain uniformity within the data,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Consistency Check
hasUsabilityTesting,Object Property,,,QualityControl,UsabilityTesting,,"A relation between a dataset and usability testing, indicating efforts to assess the dataset's user-friendliness and accessibility",https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Usability Testing
hasUserReview,Object Property,,,QualityControl,UserReview,,"A relation between a dataset and user reviews, capturing feedback and insights from individuals who have interacted with the data",https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has User Review
hasRelation,Object Property,,,Dataset,Dataset,,Specifies related datasets or data entities,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Relation
hasContent,Object Property,,,Dataset,DataContent,,A relation between a dataset and its content or variable,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Content
hasElement,Object Property,,,DataContent,Element,,A relation between a data content and its basic building blocks or components,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Element
hasCharacteristic,Object Property,,,DataContent,Characteristic,,A relation between a data content and its distinctive qualitative or quantitative characteristic,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Characteristic
hasDataRange,Object Property,,,QuantitativeCharacteristic,DataRange,,A relation between a quantity and its data range,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Data Range
http://www.ontology-of-units-of-measure.org/resource/om-2/hasUnit,Object Property,,,QuantitativeCharacteristic,Unit,,A relation between a data content and its measurement units for quantitative data,http://www.ontology-of-units-of-measure.org/resource/om-2,has Unit
dependsOn,Object Property,,,DependentContent,DataContent,,Specifies dependency on a data content,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,depends On
http://purl.org/dc/terms/accessRights,Object Property,,,UsageGuideline,http://purl.org/dc/terms/RightsStatement,some,Establishes the access restrictions to indicate permissions and limitations on who can access the data,http://purl.org/dc/terms,has Access Rights
http://purl.org/dc/terms/rights ,Object Property,,,UsageGuideline,http://purl.org/dc/terms/RightsStatement,,,http://purl.org/dc/terms,has Rights
http://purl.org/dc/terms/rightHolder,Object Property,,,UsageGuideline,http://xmlns.com/foaf/spec/Agent,,,http://purl.org/dc/terms,has Right Holder
http://purl.org/dc/terms/license ,Object Property,,,UsageGuideline,http://purl.org/dc/terms/LicenseDocument,,,http://purl.org/dc/terms,License  
http://www.w3.org/ns/odrl/2/hasPolicy,Object Property,,,UsageGuideline,http://www.w3.org/ns/odrl/2/Policy,,,http://www.w3.org/ns/odrl/2,has Policy
