Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
hasAutomaticTrackingOrScanning,Data Property,,,Product UNION Component,boolean,,A datatype property that indicates if a product or component has an automatic tracking number in the form of a barcode or any other means.,http://www.theworldavatar.com/kg/ontomatpassport,hasAutomaticTrackingOrScanning
hasEAN,Data Property,,,Product UNION Component,string,,A datatype property expressing the European Article Number (EAN) of a product or component.,http://www.theworldavatar.com/kg/ontomatpassport,hasEAN
hasFunctionality,Data Property,,,Product UNION Component,string,,The intended purpose of a product or component.,http://www.theworldavatar.com/kg/ontomatpassport,hasFunctionality
hasGTIN,Data Property,,,Product UNION Component,string,,A datatype property expressing the Global Trade Item Number (GTIN) of a product or component.,http://www.theworldavatar.com/kg/ontomatpassport,hasGTIN
id,Data Property,,,Product UNION Component UNION http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94 UNION ConstituentMaterial UNION ConstituentPart UNION MaterialPassport,string,,A datatype property expressing the Global Trade Item Number (GTIN) of a product or component.,http://www.theworldavatar.com/kg/ontomatpassport,id
version,Data Property,,,MaterialPassport,string,,The version number of the material passport.,http://www.theworldavatar.com/kg/ontomatpassport,version
isBiodegradable,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,boolean,,Indicates if a product or component is biodegradable or not.,http://www.theworldavatar.com/kg/ontomatpassport,isBiodegradable
isDecomposable,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,boolean,,Indicates if a product or component is decomposable or not.,http://www.theworldavatar.com/kg/ontomatpassport,isDecomposable
isHazardous,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,boolean,,Indicates if a product or component poses any danger.,http://www.theworldavatar.com/kg/ontomatpassport,isHazardous
hasHazardSummaryDocument,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,any uri,,"A document providing an overview of potential risks and hazards associated with the use, handling, storage, transportation, and disposal of a product or component.",http://www.theworldavatar.com/kg/ontomatpassport,hasHazardSummaryDocument
http://purl.org/goodrelations/v1#name,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart UNION Manufacturer UNION Supplier UNION MaterialPassport,string,,"A linguistic identity of a product, component, material, or any other entity.",http://purl.org/goodrelations/v1,name
hasBrandName,Data Property,http://purl.org/goodrelations/v1#name,IS-A,Product UNION Component,string,,A name that indicates the commercial brand of a product or component.,http://www.theworldavatar.com/kg/ontomatpassport,hasBrandName
hasNumber,Data Property,,,,string,,A string of numerals that expresses the identity of an object.,http://www.theworldavatar.com/kg/ontomatpassport,hasNumber
hasRegistrationNumber,Data Property,hasNumber,IS-A,Manufacturer UNION Supplier,string,,A number given to a manufacturer when registration is completed with a regulatory body.,http://www.theworldavatar.com/kg/ontomatpassport,hasRegistrationNumber
http://www.ontology-of-units-of-measure.org/resource/om-2/hasNumericalValue,Data Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,float,,The numerical value of a measured quantity.,http://www.ontology-of-units-of-measure.org/resource/om-2,hasNumericalValue
http://purl.org/dc/terms/URI,Data Property,,,http://purl.org/dc/dcmitype/Image,any uri,,The locatable address of an image on the web.,http://purl.org/dc/terms/URI,URI
hasFeedstockFractionFromRecycledProduct,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property indicating the fraction of feedstock produced from recycled products or components.,http://www.theworldavatar.com/kg/ontomatpassport,hasFeedstockFractionFromRecycledProduct
hasFeedstockFractionFromReusedProduct,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property indicating the fraction of feedstock produced from reused sources.,http://www.theworldavatar.com/kg/ontomatpassport,hasFeedstockFractionFromReusedProduct
hasProductFractionCollectedForRecycling,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property indicating the fraction of mass of a product collected for recycling.,http://www.theworldavatar.com/kg/ontomatpassport,hasProductFractionCollectedForRecycling
hasProductFractionCollectedForReuse,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property indicating the fraction of mass of a product to be reused as a component.,http://www.theworldavatar.com/kg/ontomatpassport,hasProductFractionCollectedForReuse
